カテゴリ,難易度,問題,正答,誤答,解説
光学知識,1,シャッタースピードが速いほど、動く被写体はどう写るか？,鮮明に写る,ぼやける,シャッタースピードが速いと、動きが止まったように撮影できます。
光学知識,1,デジタルカメラのISO感度を上げると、ノイズは？,増加する,減少する,ISO感度を上げると、明るくなりますがノイズも増加します。
光学知識,1,光量が不足している場合、カメラはどの設定を調整するか？,絞りを開く,絞りを閉じる,光量を増やすために、絞りを開きます。
光学知識,2,F値（絞り値）が小さいほど、被写界深度はどうなるか？,浅くなる,深くなる,F値が小さい（開放絞り）ほど、レンズの開口部が大きくなり、被写界深度が浅くなります。これにより、背景がぼけやすくなり、被写体が際立つ写真が撮影できます。
光学知識,2,被写界深度を深くするためには、絞りをどう調整する必要があるか？,絞りを閉じる,絞りを開く,絞りを閉じる（F値を大きくする）と、レンズの開口部が小さくなり、より広い範囲でピントが合うようになります。これにより、風景写真などで近景から遠景まで鮮明に写せます。
光学知識,2,同じF値の場合、焦点距離が短いレンズ（広角レンズ）の方が被写界深度はどうなるか？,深くなる,浅くなる,焦点距離が短いレンズは広角レンズに該当し、被写界深度が深くなります。これにより、全体的にピントが合った写真を撮影しやすくなります。
光学知識,2,センサーの画素数が増えると、何が向上するか？,解像度,光感度,画素数が多いと細部まで写すことができ、解像度が向上します。
光学知識,2,レンズの開放F値が小さいほど、レンズの明るさはどうなるか？,明るくなる,暗くなる,開放F値が小さいレンズは「明るいレンズ」と呼ばれます。
光学知識,2,カメラセンサーのダイナミックレンジが広いと、どのような効果があるか？,明暗の差をより正確に記録できる,ノイズが減少する,ダイナミックレンジが広いと、明るい部分と暗い部分のディテールが保たれます。
光学知識,2,ズームレンズに対して「単焦点レンズ」の主な利点は？,高い画質と明るさ,撮影距離を変更できる,単焦点レンズは光学性能が高く、明るいレンズが多いです。
光学知識,2,広角レンズで発生しやすい画像の歪みはどれか？,樽型歪み,糸巻き型歪み,広角レンズでは、直線が湾曲する樽型歪みが発生しやすいです。
光学知識,3,被写界深度が浅い写真で主に使われる撮影技術は？,ボケ効果,パンフォーカス,被写界深度が浅い場合、背景をぼかした写真が撮れます。
光学知識,3,高感度撮影時に発生しやすいノイズの種類は？,クロマノイズ,樽型歪み,クロマノイズは高感度撮影で発生するカラーノイズの一種です。
光学知識,3,「ハイパーフォーカルディスタンス」とは？,無限遠までピントが合う最短距離,最短撮影距離,ハイパーフォーカルディスタンスは、背景がすべてピント内に入るように設定する焦点距離です。
光学知識,3,シャッター方式で、「ローリングシャッター」と「グローバルシャッター」の違いは？,撮像素子の読み出しタイミング,シャッター速度の違い,ローリングシャッターは逐次読み出し、グローバルシャッターは全体を一度に読み出します。
光学知識,3,「周辺光量落ち」とは何を指すか？,画像の端が暗くなる現象,ノイズが増加する現象,レンズ特性により、周辺部で光量が低下することがあります。
環境問題,1,大気汚染の原因となる主な物質はどちらか？,二酸化硫黄 (SO2),二酸化炭素 (CO2),二酸化硫黄は化石燃料の燃焼で発生し、酸性雨や大気汚染の原因となります。CO2は温室効果ガスで、大気汚染というより地球温暖化に関連します。
環境問題,1,光化学スモッグの原因となる物質はどちらか？,揮発性有機化合物 (VOC),二酸化炭素 (CO2),揮発性有機化合物と窒素酸化物が紫外線と反応して光化学スモッグを引き起こします。
環境問題,1,酸性雨の原因物質はどちらか？,硫黄酸化物 (SOx) と窒素酸化物 (NOx),二酸化炭素 (CO2),これらの物質が水分と反応して酸を形成し、酸性雨を引き起こします。
環境問題,1,地球温暖化が直接影響を及ぼすのは？,海面上昇,オゾン層の破壊,地球温暖化は氷河融解や海水膨張により海面上昇を引き起こします。
環境問題,1,オゾン層を破壊する主な物質はどれか？,フロンガス,二酸化窒素 (NO2),フロンガス（CFC）は紫外線と反応してオゾン分子を分解し、オゾン層の破壊を引き起こします。
環境問題,1,地球環境において「カーボンニュートラル」とは何を意味するか？,排出するCO2を吸収・削減して実質ゼロにする,CO2の排出量目標をゼロにする,カーボンニュートラルは、CO2排出量と吸収量を均衡させる取り組みです。
環境問題,1,気候変動に影響を与える主要な原因は？,化石燃料の使用,太陽活動の変動,化石燃料の燃焼は大量のCO2を排出し、気候変動を加速させます。
環境問題,1,プラスチックリサイクルの一形態で、熱分解して原料に戻す方法を何と呼ぶか？,ケミカルリサイクル,マテリアルリサイクル,ケミカルリサイクルは、化学処理によってプラスチックをモノマーや原料に戻す方法です。
環境問題,1,家庭から出る生ごみを堆肥化する方法を何と呼ぶか？,コンポスト化,サーマルリサイクル,生ごみを微生物の力で分解し、肥料として再利用する方法です。
環境問題,1,リサイクルの3Rとは何を意味するか？,Reduce、Reuse、Recycle,Refuse、Replace、Repair,3Rは環境負荷を減らすための基本的なアプローチです。
環境問題,1,バイオプラスチックはどのような材料から作られるか？,植物由来の材料,食品残渣由来の材料,バイオプラスチックは、トウモロコシやサトウキビなどの植物から作られます。
環境問題,1,リサイクルの効率を上げるために重要な取り組みは？,分別収集の徹底,ゴミ収集の頻度を下げる,分別収集を徹底することで、リサイクル可能な資源を効率よく回収できます。
環境問題,1,持続可能な都市づくりにおいて、最も重要とされるのはどちらか？,再生可能エネルギーの活用,オール電化,持続可能な都市づくりでは、環境負荷を減らすために再生可能エネルギーの利用が不可欠です。
大規模言語モデル,1,大規模言語モデル（LLM）の主な目的はどれか？,自然言語を理解し、生成する,音声認識を行う,LLMは、自然言語の文脈を理解し、適切な出力を生成するモデルです。
大規模言語モデル,2,大規模言語モデル（LLM）でよく使用されるアルゴリズムの種類は？,トランスフォーマー,再帰型ニューラルネットワーク（RNN）,トランスフォーマーは、LLMの基盤となるアーキテクチャで、並列処理が可能なため効率的です。
大規模言語モデル,1,大規模言語モデル（LLM）が訓練されるデータの種類は？,自然言語データ,構造化データ,LLMは、主に自然言語データ（テキスト）を使用して訓練されます。
大規模言語モデル,2,大規模言語モデル（LLM）における「パラメータ」とは何か？,モデルが学習する重みとバイアス,入力データの特徴量,パラメータは、モデルが学習する数値で、入力データと出力の関係を決定します。
大規模言語モデル,1,大規模言語モデル（LLM）はどのようなアプローチを使用して次の単語を予測するか？,文脈に基づいて確率的に予測する,文法規則に従って予測する,LLMは、文脈に基づいて次の単語の確率分布を計算し、予測します。
大規模言語モデル,2,トランスフォーマーのアテンション機構は何を目的としているか？,入力データ内の重要な部分に焦点を当てる,データを圧縮する,アテンション機構は、入力データ内の関連性の高い部分を強調する仕組みです。
大規模言語モデル,2,トランスフォーマーのアテンションの計算に用いられる主要な3つの要素はどれか？,クエリ、キー、バリュー,重み、バイアス、損失,アテンションは、クエリ、キー、バリューを用いてデータ間の関連性を計算します。
大規模言語モデル,2,トランスフォーマーが並列処理を可能にした理由はどれか？,入力全体を一度に処理する,時系列に沿って逐次処理を行う,トランスフォーマーはシーケンス全体を同時に処理するため、並列処理が可能です。
大規模言語モデル,3,トランスフォーマーの「自己アテンション」とは何か？,同一シーケンス内の単語間の関連性を計算する,他のシーケンスと関連付ける,自己アテンションは、入力シーケンス内で単語同士の関連性を計算する仕組みです。
大規模言語モデル,3,トランスフォーマーの重要な構成要素はどれか？,エンコーダーとデコーダー,再帰ニューラルネットワーク,トランスフォーマーはエンコーダーとデコーダーから構成され、情報のエンコードと生成を行います。
大規模言語モデル,1,大規模言語モデル（LLM）の訓練で使用される手法は？,教師なし学習と自己教師あり学習,教師あり学習,LLMは、テキストデータを基に自己教師あり学習で訓練されることが一般的です。
大規模言語モデル,3,大規模言語モデル（LLM）の性能評価に用いられる一般的な指標はどれか？,クロスエントロピー損失,精度（Accuracy）,クロスエントロピー損失は、言語モデルの予測の良さを測る指標です。
大規模言語モデル,2,大規模言語モデル（LLM）のスケーリングで重要な要素はどれか？,モデルサイズ、データサイズ、計算能力,データの圧縮率,LLMの性能は、モデルのサイズや使用するデータの量、計算資源に依存します。
大規模言語モデル,1,大規模言語モデル（LLM）の訓練におけるバッチサイズが小さいと、何が起こりやすいか？,学習が不安定になる,学習速度が向上する,小さいバッチサイズでは、勾配のばらつきが大きくなり学習が不安定になる可能性があります。
大規模言語モデル,1,大規模言語モデル（LLM）の訓練データにおける「バイアス」とは何を指すか？,データに含まれる偏り,データの安定性,訓練データに偏りがあると、モデルの出力にもそのバイアスが反映される可能性があります。
大規模言語モデル,1,大規模言語モデル（LLM）の生成するテキストはどのような性質を持つか？,文脈に基づいて論理的である場合が多い,文脈が抽象的になる場合が多い,LLMは文脈を考慮して生成しますが、必ずしも正確な内容とは限りません。
大規模言語モデル,1,大規模言語モデル（LLM）が大規模データを必要とする理由は？,モデルの汎化性能を向上させるため,訓練速度を速くするため,大量のデータを使うことで、多様な文脈を学習し、汎化性能が向上します。
大規模言語モデル,1,大規模言語モデル（LLM）の限界として挙げられるのは？,論理的な推論能力が不足する場合がある,訓練時間が長すぎる,LLMは学習したデータに依存するため、論理的な推論や未知の問題には限界があります。
大規模言語モデル,1,大規模言語モデル（LLM）の推論時間が長くなる主な理由は？,パラメータ数が多いため,データが複雑なため,パラメータ数が非常に多いLLMでは、推論に多くの計算が必要となるため時間がかかります。
ベイズ理論,2,ベイズの定理は、どのような確率を計算するために使用されるか？,条件付き確率,確率密度関数,ベイズの定理は、ある事象が既に観測された事象に基づいて発生する確率を計算するために使用されます。
ベイズ理論,1,ベイズの定理における P(A)は何を意味するか？,Aの事前確率,Aの事後確率,P(A)は観測が行われる前のAの確率（事前確率）を表します。
ベイズ理論,2,ベイズの定理における P(B|A)は何を意味するか？,Aが起こったときのBの確率,Bが起こったときのAの確率,P(B|A)は、Aが発生した場合にBが発生する条件付き確率です。
ベイズ理論,3,ベイズ分類器では、どのようにクラスが割り当てられるか？,最大の事後確率を持つクラス,最大の事前確率を持つクラス,ベイズ分類器は、観測データに基づき事後確率が最大となるクラスに割り当てます。
ベイズ理論,3,ナイーブベイズ分類器の特徴はどれか？,特徴量間の独立性を仮定する,特徴量間の相関を考慮する,ナイーブベイズ分類器は、各特徴量が独立であると仮定して計算を簡略化します。
ベイズ理論,2,ナイーブベイズ分類器は、どのようなデータで効果的か？,テキストデータ,時系列データ,ナイーブベイズ分類器は、スパムメール検出などのテキストデータの分類でよく使用されます。
ベイズ理論,2,ベイズ理論を用いた推論は、次のどの問題に役立つか？,不確実性の下での意思決定,経路探索問題,ベイズ理論は、不確実な状況での確率的推論や意思決定に有用です。
ベイズ理論,2,ベイズ理論の結果が正確であるためには、何が必要か？,適切な事前確率の設定,高速な計算アルゴリズム,適切な事前確率を設定することは、ベイズ理論による正確な推論に不可欠です。
機械学習,1,機械学習の「学習方法」は、大きく分けて「教師あり学習」「教師なし学習」の２種類だけである。,2種類以外にもある,2種類だけである,機械学習には、ラベル付きデータを使う「教師あり学習」、ラベルなしデータを使う「教師なし学習」以外にも、行動と報酬を使う「強化学習」があります。
機械学習,1,教師あり学習において、目的はどれか？,入力から出力を予測する,データ内の隠れたパターンを見つける,教師あり学習は、入力データとラベルの関係を学習し、新しい入力データに基づいて出力を予測します。
機械学習,1,教師なし学習では、主に何を行うか？,クラスタリングや次元削減,分類や回帰,教師なし学習はラベルのないデータを扱い、データをグループ化したり重要な特徴を抽出します。
機械学習,2,強化学習では、学習はどのように行われるか？,試行錯誤と報酬を通じて学習する,教師データに基づいて学習する,強化学習は、エージェントが環境との相互作用を通じて最適な行動を学びます。
機械学習,1,過学習とはどのような現象か？,モデルが訓練データに過剰適合している,モデルが訓練データを学習しきれていない,過学習は、モデルが訓練データに適合しすぎて新しいデータに対して性能が低下する現象です。
機械学習,1,線形回帰の目的はどれか？,連続値の予測,分類,線形回帰は、入力変数と連続的な出力変数の間の関係をモデル化します。
機械学習,1,ロジスティック回帰は分類問題で使用されるが、その出力は何を表すか？,クラスに属する確率,データの期待値,ロジスティック回帰は、あるデータが特定のクラスに属する確率を出力します。
機械学習,1,線形回帰の誤差を最小化するために一般的に使用される手法はどれか？,最小二乗法,ニュートン法,最小二乗法は、予測値と実測値の差の2乗の合計を最小化する手法です。
機械学習,1,ロジスティック回帰の決定境界は何を基準に設定されるか？,確率,学習率,ロジスティック回帰では、確率が0.5を超える場合に特定のクラスと判断します。
機械学習,2,ロジスティック回帰で用いられる活性化関数はどれか？,シグモイド関数,ソフトマックス関数,シグモイド関数は、ロジスティック回帰で出力を0から1の範囲に変換します。
機械学習,1,サポートベクターマシン（SVM）で重要な概念はどれか？,マージンの最大化,平均二乗誤差の最小化,SVMは、クラス間のマージンを最大化する境界を見つけることで分類を行います。
機械学習,2,サポートベクターマシン（SVM）で非線形データを扱う際に使用されるのは？,カーネル関数,シグモイド関数,カーネル関数は、非線形データを高次元空間にマッピングするために使用されます。
機械学習,3,サポートベクターマシン（SVM）のカーネル関数でよく使われるものはどれか？,RBFカーネル（ガウシアンカーネル）,ハイパボリック関数,RBFカーネルは、SVMで非線形データを処理する際に一般的に使用されます。
機械学習,2,サポートベクターマシン（SVM）でソフトマージンは何を可能にするか？,訓練データ内の誤分類を許容する,高速な計算を行う,ソフトマージンは、少量の誤分類を許容することでモデルの汎化性能を向上させます。
機械学習,2,サポートベクターマシン（SVM）が他のアルゴリズムと比べて優れているのはどのような状況か？,データ数が少なく、特徴量が多い場合,データ数が多く、特徴量が少ない場合,SVMは、高次元空間でのマージン最大化に強いため、少ないデータでも有効です。
ニューラルネットワーク,2,ニューラルネットワークで、入力層から出力層に情報が順に伝わる仕組みは？,フィードフォワード,リカレント,フィードフォワードは、入力から出力へ一方向にデータが伝わる仕組みです。
ニューラルネットワーク,3,ニューラルネットワークの学習において、誤差を逆伝播させる手法は何と呼ばれるか？,バックプロパゲーション,勾配降下法,バックプロパゲーションは、誤差を逆方向に伝播させて重みを更新する手法です。
ニューラルネットワーク,2,活性化関数「ReLU」の特性はどれか？,負の値を0にする,入力を一定値にクリップする,ReLUは、負の入力を0にし、正の入力をそのまま出力します。
ニューラルネットワーク,3,ニューラルネットワークの過学習を防ぐための手法はどれか？,ドロップアウト,ミニバッチ,ドロップアウトは、学習中にランダムにニューロンを無効化することで過学習を防ぎます。
ニューラルネットワーク,3,深層学習でのモデルのトレーニングにおいて、学習率を調整する目的は？,勾配降下の収束速度を制御するため,モデルのサイズを縮小するため,学習率は、パラメータの更新量を調整し、収束速度や安定性に影響を与えます。
電気・電磁気学,1,クーロンの法則において、2つの点電荷間に働く力の大きさは、距離の何乗に反比例する？,距離の2乗,距離の3乗,クーロンの法則では、2つの点電荷間に働く静電力 F は、電荷の積 q1と q2に比例し、距離 r の2乗に反比例します。
電気・電磁気学,1,磁場中で導線を動かすときに発生する電流の方向は何の法則で決まる？,フレミングの右手の法則,フレミングの左手の法則,フレミングの右手の法則は、誘導電流の方向を決める法則です。磁場中で導線を動かすとき、右手の親指を動く方向、人差し指を磁場の方向、中指を電流の方向として対応させます。
電気・電磁気学,2,交流回路において、リアクタンスがゼロとなるのはどの条件？,回路が共振している場合,周波数が無限大の場合,交流回路で、共振条件（インダクタンスのリアクタンスとキャパシタンスのリアクタンスが等しい状態）では、リアクタンスが打ち消し合いゼロになります。これにより、回路が最大の電流を流せる状態になります。
電気・電磁気学,3,電磁波が誘電体境界面を通過する際、境界面での反射係数と透過係数は何によって決定される？,入射角と媒質の屈折率,波長と媒質の電導率,電磁波の反射係数と透過係数は、スネルの法則やフレネルの式を用いて、入射角と媒質の屈折率（誘電率や透磁率に関連）から計算されます。
電気・電磁気学,1,キルヒホッフの電流則に基づく場合、任意の回路接点（ノード）で成り立つのはどちらか？,接点に流れ込む電流の総和は流れ出る電流の総和に等しい,接点に流れ込む電流の総和はゼロではない,キルヒホッフの電流則（KCL）は、電荷保存則に基づいています。接点に流れ込む電流と流れ出る電流の和が常にゼロ、すなわち「流入電流 = 流出電流」という形で表されます。
電気・電磁気学,1,キルヒホッフの電圧則に基づく場合、任意の閉回路における電圧の和について正しいのはどちらか？,電圧源と電圧降下の和は常にゼロ,電圧源の和が電圧降下の和を超える場合がある,キルヒホッフの電圧則（KVL）は、エネルギー保存則に基づいています。閉じた回路（ループ）内を一周する際、電圧源から供給されるエネルギーと抵抗などで消費されるエネルギーの合計は常にゼロです。
無線(変復調),2,デジタル変調方式の一つで、位相を変化させることによって情報を伝送する方式はどれか？,PSK (Phase Shift Keying),ASK (Amplitude Shift Keying),PSKは、信号の位相を変化させてデータを送信する方式です。一方、ASKは振幅を変化させてデータを伝送します。
無線(変復調),2,QAM（Quadrature Amplitude Modulation）は、どのような信号の特性を組み合わせて情報を伝送するか？,振幅と位相,振幅と周波数,QAMは振幅と位相を組み合わせて信号を変調します。この方法により、多くの情報を効率的に伝送できます。
無線(変復調),2,2進符号を1ビットごとに送信する方式は次のうちどれか？,BPSK (Binary Phase Shift Keying),QPSK (Quadrature Phase Shift Keying),BPSKは、1ビットごとに位相を180°変化させて送信します。一方、QPSKでは1シンボルで2ビットの情報を送信します。
無線(変復調),2,FSK (Frequency Shift Keying) は、どの信号特性を変化させて情報を伝送するか？,周波数,位相,FSKでは、信号の周波数を変化させることでデータを伝送します。0と1に異なる周波数を割り当てます。
無線(変復調),2,OFDM (Orthogonal Frequency Division Multiplexing) の主な特徴はどれか？,各サブキャリアが直交しているため、干渉を最小化できる,高い周波数帯域を必要とする,OFDMでは、直交するサブキャリアを使用してデータを多重化します。この特性により、効率的に帯域を使用しつつ干渉を抑制します。
無線(空中線),2,ダイポールアンテナの基本構造はどのようなものか？,導線が2本,導線が1本,ダイポールアンテナは、1/2波長の長さを持つ2本の導線から構成されています。
無線(空中線),2,アンテナの利得が高いほど、何が向上するか？,特定方向への指向性,無指向性の範囲,アンテナの利得が高い場合、特定の方向への電力の集中度が高くなり、通信距離や信号品質が向上します。
無線(空中線),1,アンテナの指向性パターンが全方向に均等であるものを何と呼ぶか？,無指向性アンテナ,指向性アンテナ,無指向性アンテナは、全方向に均等に電波を放射するアンテナであり、例えば車載用アンテナなどに使用されます。
無線(空中線),1,パッチアンテナは主にどの用途で使用されるか？,携帯電話やGPSなどの小型デバイス,衛星通信の大型地上局,パッチアンテナは平面型のアンテナで、小型かつ低プロファイルのため、携帯電話やGPS受信機などに適しています。
無線(空中線),2,アンテナの入力インピーダンスが送信機や受信機と一致していない場合、何が起きるか？,反射が発生し、効率が低下する,放射パターンが変化する,インピーダンスが一致していないと電力の反射が発生し、伝送効率が低下します。この問題を解決するために、マッチング回路が使用されます。
宇宙空間通信,1,宇宙空間で無線通信が地球上と異なる最大の理由はどれか？,宇宙空間には大気がないため信号減衰が少ない,宇宙空間では信号が光速を超える場合がある,地球上では大気や水蒸気によって信号が減衰しますが、宇宙空間ではこれがほぼありません。ただし、信号の減衰は距離による拡散と他の干渉によって影響を受けます。
宇宙空間通信,1,宇宙空間で使用される無線通信の主な周波数帯域はどれか？,マイクロ波（SHF帯域）,ラジオ波（HF帯域）,宇宙通信では、遠距離通信で高データレートを実現するためにマイクロ波帯域（特にS帯やX帯、Ka帯）が使用されます。これらは高い指向性を持つパラボラアンテナと相性が良いです。
宇宙空間通信,2,宇宙通信で重要な「ドップラーシフト」とは何に関係するか？,送信源と受信機の相対速度による周波数の変化,信号の振幅の変化,宇宙探査機や衛星が高速で移動するため、信号の周波数が送信源と受信機の相対速度によって変化します。これを「ドップラーシフト」といい、通信周波数の補正が必要です。
宇宙空間通信,1,宇宙探査機が地球に信号を送信する際、最も影響を受けやすい要因はどれか？,太陽フレアの影響,月の重力場の影響,太陽フレアが発生すると、プラズマや電磁波が放出され、宇宙空間の信号伝播が妨げられることがあります。この影響で通信が途絶えることもあります。
宇宙空間通信,2,宇宙通信のデータ伝送効率を向上させるために一般的に使用される技術はどれか？,前方誤り訂正（FEC）を使用する,高出力の送信機を使用する,宇宙通信では、信号が非常に弱くなるため、誤り訂正技術（FEC）が重要です。これにより、受信側で信号の復元精度を高め、データ損失を減らします。
センサー（温度）,1,半導体温度センサーは、温度によって何が変化する性質を利用しているか？,電圧の変化,抵抗の変化,半導体温度センサーは、温度によって変化するpn接合の電圧（または電流）特性を利用します。
センサー（温度）,1,半導体温度センサーの代表的な種類はどれか？,IC温度センサー,サーミスタ,半導体センサーとしてはIC温度センサーが一般的で、リニアな出力を持つことが特徴です。
センサー（温度）,1,半導体温度センサーは主にどの範囲の温度測定に適しているか？,-50℃～150℃,500℃～1000℃,半導体温度センサーは中程度の温度測定に適しており、極端な高温環境では使用できません。
センサー（温度）,2,白金電極温度センサーの原理は何を利用しているか？,抵抗の変化,電流の変化,白金電極温度センサーは、温度変化に伴う白金の抵抗値変化を利用して温度を測定します。
センサー（温度）,2,白金温度センサーの最も一般的な型番はどれか？,Pt100,RTD200,Pt100は、0°Cで100Ωの抵抗を持つ白金温度センサーの代表的な規格です。
センサー（温度）,1,白金温度センサーの利点は何か？,耐熱性が高く、高温環境で正確に測定できる,コストが安い,白金センサーは、高温環境でも高い精度を保つことができるのが利点です。
センサー（温度）,1,白金温度センサーの測定範囲は通常どの程度か？,-200℃～850℃,-50℃～150℃,白金センサーは広い温度範囲で高精度に測定可能です。
センサー（温度）,2,熱電対は2種類の異なる金属を接続した際に生じる何を利用して温度を測定するか？,電圧,抵抗,熱電対は、異なる金属間に温度差があると生じる熱起電力（ゼーベック効果）を利用します。
センサー（温度）,1,K型熱電対の使用範囲はどれか？,-200℃～1350℃,0℃～500℃,K型熱電対は、汎用性が高く広範囲の温度測定に対応しています。
センサー（温度）,2,熱電対の測定精度に影響を与える要因はどれか？,接続端子の冷接点温度,金属の電気伝導率,冷接点補償が正確でないと、熱電対の測定精度が低下します。
センサー（湿度）,1,湿度センサは、湿度に応じて何が変化する特性を利用するか？,容量・抵抗,起電力,湿度センサは、湿度による容量や抵抗の変化を測定します。
センサー（湿度）,1,湿度センサで測定される相対湿度は何と比較して定義されるか？,飽和水蒸気量,気圧,相対湿度は、現在の水蒸気量を同温度での飽和水蒸気量で割った割合として表されます。
センサー（湿度）,1,静電容量型湿度センサの主な特徴はどれか？,高速応答で長寿命,高精度だが応答が遅い,静電容量型センサは、応答性が良く、長寿命であるため多くの用途で使用されます。
センサー(ToF),1,ToF（Time of Flight）センサは、何を測定することで距離を求めるか？,光の飛行時間,音の反射時間,ToFセンサは、光が物体に反射して戻るまでの時間を測定します。
センサー(ToF),1,ToFセンサの測定精度を向上させるには何が重要か？,高速な光検出器,強力な磁場,高速で正確な光検出がToFセンサの精度に直結します。
センサー(ToF),1,ToFセンサはどのような光を主に使用するか？,赤外光,紫外光,ToFセンサは主に赤外光を使用して測定を行います。
センサー(ToF),1,ToFセンサの主な制約はどれか？,長距離測定が困難,高反射率の物体に弱い,ToFセンサは、長距離では信号が弱くなるため精度が低下します。
センサー(ジャイロ),1,ジャイロセンサーは何を検出するセンサーか？,角速度,重力,ジャイロセンサーは、物体の回転速度（角速度）を検出します。
センサー(ジャイロ),2,ジャイロセンサーはどの原理を利用して角速度を測定するか？,コリオリ力,遠心力,物体が角速度に応じてコリオリ力を受ける性質を利用しています。
センサー(ジャイロ),1,ジャイロセンサーの一般的な用途はどれか？,姿勢制御,高度,ジャイロセンサーは姿勢制御や動き検知に広く利用されています。
センサー（地磁気）,1,地磁気センサーは何を測定するか？,地球の磁場,地球の重力,地磁気センサーは、地球が持つ磁場を測定し、方位や磁気強度を検出します。
